day,wbtc_usd
2020-10-01,10622.79
2020-10-02,10576.64
2020-10-03,10562.59
2020-10-04,10696.87
2020-10-05,10795.11
2020-10-06,10603.90
2020-10-07,10672.67
2020-10-08,10940.33
2020-10-09,11069.84
2020-10-10,11312.87
2020-10-11,11386.89
2020-10-12,11551.30
2020-10-13,11430.86
2020-10-14,11429.30
2020-10-15,11508.31
2020-10-16,11337.58
2020-10-17,11372.84
2020-10-18,11504.58
2020-10-19,11750.33
2020-10-20,11921.78
2020-10-21,12825.92
2020-10-22,12990.25
2020-10-23,12937.20
2020-10-24,13114.01
2020-10-25,13046.29
2020-10-26,13069.43
2020-10-27,13631.01
2020-10-28,13245.39
2020-10-29,13436.01
2020-10-30,13548.31
2020-10-31,13749.32
2020-11-01,13734.41
2020-11-02,13571.24
2020-11-03,14022.38
2020-11-04,14143.57
2020-11-05,15581.20
2020-11-06,15575.03
2020-11-07,14791.73
2020-11-08,15415.69
2020-11-09,15297.97
2020-11-10,15261.61
2020-11-11,15652.32
2020-11-12,16271.34
2020-11-13,16304.19
2020-11-14,16066.90
2020-11-15,15949.02
2020-11-16,16715.90
2020-11-17,17681.54
2020-11-18,17766.78
2020-11-19,17794.97
2020-11-20,18635.80
2020-11-21,18655.34
2020-11-22,18373.93
2020-11-23,18371.36
2020-11-24,19141.83
2020-11-25,18676.32
2020-11-26,17174.14
2020-11-27,17121.39
2020-11-28,17710.63
2020-11-29,18184.32
2020-11-30,19686.87
2020-12-01,18788.67
2020-12-02,19198.16
2020-12-03,19415.16
2020-12-04,18647.96
2020-12-05,19149.32
2020-12-06,19359.12
2020-12-07,19153.74
2020-12-08,18325.70
2020-12-09,18527.85
2020-12-10,18250.47
2020-12-11,18038.24
2020-12-12,18803.72
2020-12-13,19180.68
2020-12-14,19279.19
2020-12-15,19442.61
2020-12-16,21373.48
2020-12-17,22797.07
2020-12-18,23144.89
2020-12-19,23837.57
2020-12-20,23478.27
2020-12-21,22711.14
2020-12-22,23819.66
2020-12-23,23232.53
2020-12-24,23733.52
2020-12-25,24690.83
2020-12-26,26432.48
2020-12-27,26249.27
2020-12-28,27038.61
2020-12-29,27338.02
2020-12-30,28866.50
2020-12-31,28955.25
2021-01-01,29384.73
2021-01-02,32200.05
2021-01-03,33050.25
2021-01-04,32030.55
2021-01-05,34024.67
2021-01-06,36862.47
2021-01-07,39416.24
2021-01-08,40615.92
2021-01-09,40180.33
2021-01-10,38240.28
2021-01-11,35442.79
2021-01-12,34058.40
2021-01-13,37362.16
2021-01-14,39194.74
2021-01-15,36826.96
2021-01-16,36020.21
2021-01-17,35875.35
2021-01-18,36659.66
2021-01-19,36040.59
2021-01-20,35536.88
2021-01-21,30871.14
2021-01-22,33041.03
2021-01-23,32135.96
2021-01-24,32412.79
2021-01-25,32307.55
2021-01-26,32549.04
2021-01-27,30423.05
2021-01-28,33443.87
2021-01-29,34245.23
2021-01-30,34352.14
2021-01-31,33176.36
2021-02-01,33603.01
2021-02-02,35595.48
2021-02-03,37752.69
2021-02-04,36983.42
2021-02-05,38348.55
2021-02-06,39384.81
2021-02-07,38907.69
2021-02-08,46437.41
2021-02-09,46509.57
2021-02-10,44845.98
2021-02-11,48006.18
2021-02-12,47407.08
2021-02-13,47217.60
2021-02-14,48638.27
2021-02-15,47931.72
2021-02-16,49150.20
2021-02-17,52154.91
2021-02-18,51591.61
2021-02-19,55927.88
2021-02-20,55872.89
2021-02-21,57446.96
2021-02-22,54104.93
2021-02-23,48884.03
2021-02-24,49713.30
2021-02-25,47082.87
2021-02-26,46324.50
2021-02-27,46186.77
2021-02-28,45351.55
2021-03-01,49684.71
2021-03-02,48501.21
2021-03-03,50442.94
2021-03-04,48412.10
2021-03-05,48824.15
2021-03-06,48990.59
2021-03-07,51168.04
2021-03-08,52457.43
2021-03-09,55038.56
2021-03-10,55949.20
2021-03-11,57867.22
2021-03-12,57244.77
2021-03-13,61179.79
2021-03-14,59057.89
2021-03-15,55720.68
2021-03-16,56925.01
2021-03-17,58897.22
2021-03-18,57643.32
2021-03-19,58118.27
2021-03-20,58101.34
2021-03-21,57374.95
2021-03-22,54089.95
2021-03-23,54263.05
2021-03-24,52292.56
2021-03-25,51387.43
2021-03-26,55055.43
2021-03-27,55857.30
2021-03-28,55781.01
2021-03-29,57626.10
2021-03-30,58840.32
2021-03-31,58852.59
2021-04-01,58730.82
2021-04-02,58987.80
2021-04-03,57069.26
2021-04-04,58228.42
2021-04-05,59119.56
2021-04-06,58010.35
2021-04-07,56007.93
2021-04-08,58084.46
2021-04-09,58101.04
2021-04-10,59784.80
2021-04-11,59968.45
2021-04-12,59845.76
2021-04-13,63558.48
2021-04-14,63027.23
2021-04-15,63233.03
2021-04-16,61416.41
2021-04-17,60056.07
2021-04-18,56224.32
2021-04-19,55663.41
2021-04-20,56462.16
2021-04-21,53781.73
2021-04-22,51712.44
2021-04-23,51157.56
2021-04-24,50095.94
2021-04-25,49120.97
2021-04-26,54056.88
2021-04-27,55073.48
2021-04-28,54877.94
2021-04-29,53576.22
2021-04-30,57752.19
2021-05-01,57843.16
2021-05-02,56600.86
2021-05-03,57252.27
2021-05-04,53244.07
2021-05-05,57506.88
2021-05-06,56498.38
2021-05-07,57431.70
2021-05-08,59002.07
2021-05-09,58352.47
2021-05-10,55870.01
2021-05-11,56804.27
2021-05-12,49553.58
2021-05-13,49750.30
2021-05-14,49937.85
2021-05-15,46822.07
2021-05-16,46537.20
2021-05-17,43595.69
2021-05-18,42928.91
2021-05-19,36753.48
2021-05-20,40638.00
2021-05-21,37387.74
2021-05-22,37528.99
2021-05-23,34716.84
2021-05-24,38876.60
2021-05-25,38425.75
2021-05-26,39334.38
2021-05-27,38538.84
2021-05-28,35680.92
2021-05-29,34604.66
2021-05-30,35662.59
2021-05-31,37328.12
2021-06-01,36720.19
2021-06-02,37614.56
2021-06-03,39268.89
2021-06-04,36898.36
2021-06-05,35538.40
2021-06-06,35798.57
2021-06-07,33616.44
2021-06-08,33442.79
2021-06-09,37428.97
2021-06-10,36680.78
2021-06-11,37377.32
2021-06-12,35541.78
2021-06-13,39017.37
2021-06-14,40567.16
2021-06-15,40202.02
2021-06-16,38383.76
2021-06-17,38120.38
2021-06-18,35866.12
2021-06-19,35550.90
2021-06-20,35637.86
2021-06-21,31652.62
2021-06-22,32537.58
2021-06-23,33712.32
2021-06-24,34684.49
2021-06-25,31593.86
2021-06-26,32307.35
2021-06-27,34748.52
2021-06-28,34521.60
2021-06-29,35901.41
2021-06-30,35091.45
2021-07-01,33543.11
2021-07-02,33838.34
2021-07-03,34682.84
2021-07-04,35287.97
2021-07-05,33702.79
2021-07-06,34271.90
2021-07-07,33914.67
2021-07-08,32874.01
2021-07-09,33804.20
2021-07-10,33548.65
2021-07-11,34283.55
2021-07-12,33121.60
2021-07-13,32737.47
2021-07-14,32820.50
2021-07-15,31861.09
2021-07-16,31401.76
2021-07-17,31546.64
2021-07-18,31806.30
2021-07-19,30847.55
2021-07-20,29795.55
2021-07-21,32139.48
2021-07-22,32299.47
2021-07-23,33637.92
2021-07-24,34282.56
2021-07-25,35366.39
2021-07-26,37254.61
2021-07-27,39480.89
2021-07-28,40030.01
2021-07-29,40030.52
2021-07-30,42231.83
2021-07-31,41516.19
2021-08-01,39866.77
2021-08-02,39158.53
2021-08-03,38181.66
2021-08-04,39778.30
2021-08-05,40888.18
2021-08-06,42852.18
2021-08-07,44621.89
2021-08-08,43827.75
2021-08-09,46303.07
2021-08-10,45585.63
2021-08-11,45616.52
2021-08-12,44425.52
2021-08-13,47818.58
2021-08-14,47073.29
2021-08-15,47062.96
2021-08-16,45918.21
2021-08-17,44684.43
2021-08-18,44696.65
2021-08-19,46747.46
2021-08-20,49336.45
2021-08-21,48867.87
2021-08-22,49289.71
2021-08-23,49521.06
2021-08-24,47690.54
2021-08-25,48996.44
2021-08-26,46847.53
2021-08-27,49088.10
2021-08-28,48918.90
2021-08-29,48794.26
2021-08-30,47040.30
2021-08-31,47159.26
2021-09-01,48888.85
2021-09-02,49330.05
2021-09-03,50019.51
2021-09-04,49935.29
2021-09-05,51784.16
2021-09-06,52693.32
2021-09-07,46903.17
2021-09-08,46073.45
2021-09-09,46392.85
2021-09-10,44848.61
2021-09-11,45161.60
2021-09-12,46049.72
2021-09-13,44949.57
2021-09-14,47129.01
2021-09-15,48196.60
2021-09-16,47812.23
2021-09-17,47297.98
2021-09-18,48312.46
2021-09-19,47237.58
2021-09-20,42925.46
2021-09-21,40701.45
2021-09-22,43571.79
2021-09-23,44880.40
2021-09-24,42839.84
2021-09-25,42713.37
2021-09-26,43201.79
2021-09-27,42183.29
2021-09-28,41056.79
2021-09-29,41539.43
2021-09-30,43829.34
2021-10-01,48164.35
2021-10-02,47789.76
2021-10-03,48234.05
2021-10-04,49276.91
2021-10-05,51504.27
2021-10-06,55345.85
2021-10-07,53797.21
2021-10-08,54003.24
2021-10-09,55023.01
2021-10-10,54700.24
2021-10-11,57556.30
2021-10-12,56066.91
2021-10-13,57426.37
2021-10-14,57416.57
2021-10-15,61746.64
2021-10-16,60877.77
2021-10-17,61582.06
2021-10-18,62100.20
2021-10-19,64348.25
2021-10-20,66087.04
2021-10-21,62346.24
2021-10-22,60693.59
2021-10-23,61374.40
2021-10-24,60924.42
2021-10-25,63152.13
2021-10-26,60376.00
2021-10-27,58464.42
2021-10-28,60670.72
2021-10-29,62344.78
2021-10-30,61953.80
2021-10-31,61411.10
2021-11-01,60960.98
2021-11-02,63260.05
2021-11-03,62929.93
2021-11-04,61448.47
2021-11-05,61080.68
2021-11-06,61591.29
2021-11-07,63366.08
2021-11-08,67549.14
2021-11-09,66939.24
2021-11-10,64926.06
2021-11-11,64885.62
2021-11-12,64220.46
